 Name                          Version    License                                             
 Keras-Preprocessing           1.1.2      MIT License                                         
 Markdown                      3.3.6      BSD License                                         
 Pillow                        8.4.0      Historical Permission Notice and Disclaimer (HPND)  
 Werkzeug                      2.0.2      BSD License                                         
 absl-py                       1.0.0      Apache Software License                             
 astunparse                    1.6.3      BSD License                                         
 autopep8                      1.6.0      MIT License                                         
 cachetools                    4.2.4      MIT License                                         
 certifi                       2021.10.8  Mozilla Public License 2.0 (MPL 2.0)                
 charset-normalizer            2.0.9      MIT License                                         
 cycler                        0.11.0     BSD License                                         
 flake8                        4.0.1      MIT License                                         
 flatbuffers                   2.0        Apache Software License                             
 fonttools                     4.28.5     MIT License                                         
 gast                          0.4.0      BSD License                                         
 google-auth                   2.3.3      Apache Software License                             
 google-auth-oauthlib          0.4.6      Apache Software License                             
 google-pasta                  0.2.0      Apache Software License                             
 grpcio                        1.43.0     Apache Software License                             
 h5py                          3.6.0      BSD License                                         
 idna                          3.3        BSD License                                         
 importlib-metadata            4.10.0     Apache Software License                             
 joblib                        1.1.0      BSD License                                         
 keras                         2.7.0      Apache Software License                             
 kiwisolver                    1.3.2      BSD License                                         
 libclang                      12.0.0     Apache Software License                             
 matplotlib                    3.5.1      Python Software Foundation License                  
 mccabe                        0.6.1      MIT License                                         
 numpy                         1.21.5     BSD License                                         
 oauthlib                      3.1.1      BSD License                                         
 opt-einsum                    3.3.0      MIT                                                 
 packaging                     21.3       Apache Software License; BSD License                
 pandas                        1.3.5      BSD License                                         
 pipdeptree                    2.2.0      MIT License                                         
 protobuf                      3.19.1     3-Clause BSD License                                
 pyasn1                        0.4.8      BSD License                                         
 pyasn1-modules                0.2.8      BSD License                                         
 pycodestyle                   2.8.0      MIT License                                         
 pyflakes                      2.4.0      MIT License                                         
 pygame                        2.1.2      GNU Library or Lesser General Public License (LGPL) 
 pyparsing                     3.0.6      MIT License                                         
 python-dateutil               2.8.2      Apache Software License; BSD License                
 pytz                          2021.3     MIT License                                         
 requests                      2.26.0     Apache Software License                             
 requests-oauthlib             1.3.0      BSD License                                         
 rsa                           4.8        Apache Software License                             
 scikit-learn                  1.0.2      new BSD                                             
 scipy                         1.7.3      BSD License                                         
 seaborn                       0.11.2     BSD License                                         
 six                           1.16.0     MIT License                                         
 sklearn                       0.0        UNKNOWN                                             
 tensorboard                   2.7.0      Apache Software License                             
 tensorboard-data-server       0.6.1      Apache Software License                             
 tensorboard-plugin-wit        1.8.0      Apache 2.0                                          
 tensorflow                    2.7.0      Apache Software License                             
 tensorflow-estimator          2.7.0      Apache Software License                             
 tensorflow-io-gcs-filesystem  0.23.1     Apache Software License                             
 termcolor                     1.1.0      MIT License                                         
 threadpoolctl                 3.0.0      BSD License                                         
 toml                          0.10.2     MIT License                                         
 typing-extensions             4.0.1      Python Software Foundation License                  
 urllib3                       1.26.7     MIT License                                         
 wrapt                         1.13.3     BSD License                                         
 zipp                          3.6.0      MIT License                                         
